code,title,level,units,coordinating_unit,source
ENGG2800,Team Project I,Undergraduate,2.0,Elec Engineering & Comp Science School,https://programs-courses.uq.edu.au/course.html?course_code=ENGG2800
ENGG3800,Team Project II,Undergraduate,2.0,Elec Engineering & Comp Science School,https://programs-courses.uq.edu.au/course.html?course_code=ENGG3800
ENGG4805,Thesis Project,Undergraduate,4.0,Elec Engineering & Comp Science School,https://programs-courses.uq.edu.au/course.html?course_code=ENGG4805
ENGG7340,Research Project,Postgraduate Coursework,4.0,Mech & Mine Engineering School,https://programs-courses.uq.edu.au/course.html?course_code=ENGG7340
ENGL3020,Literature Professional Placement,Undergraduate,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=ENGL3020
ENGY7115,Professional Project,Postgraduate Coursework,8.0,Chemical Engineering School,https://programs-courses.uq.edu.au/course.html?course_code=ENGY7115
ENGY7215,Mini Project in Energy,Postgraduate Coursework,4.0,Chemical Engineering School,https://programs-courses.uq.edu.au/course.html?course_code=ENGY7215
ENVM3102,Industry Placement (Environmental Management),Undergraduate,4.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=ENVM3102
ENVM7109,Research Topic,Postgraduate Coursework,2.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=ENVM7109
ENVM7110,Research Project,Postgraduate Coursework,4.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=ENVM7110
ENVM7125,Research Project,Postgraduate Coursework,6.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=ENVM7125
ENVM7130,Thesis,Postgraduate Coursework,8.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=ENVM7130
ENVM7535,Industry Placement,Postgraduate Coursework,4.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=ENVM7535
ERTH3050,Field Geology: Mapping in the Outback,Undergraduate,2.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=ERTH3050
EXMD4701,Clinical Exercise Physiology Practicum A,Undergraduate,4.0,Human Movement & Nutrition Sci,https://programs-courses.uq.edu.au/course.html?course_code=EXMD4701
EXMD4702,Clinical Exercise Physiology Practicum B,Undergraduate,4.0,Human Movement & Nutrition Sci,https://programs-courses.uq.edu.au/course.html?course_code=EXMD4702
FINM4411,Team Project,Undergraduate,4.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=FINM4411
FOOD7617,Graduate Research Project III,Postgraduate Coursework,8.0,Agriculture and Food Sustainability School,https://programs-courses.uq.edu.au/course.html?course_code=FOOD7617
FREN1010,Introductory French 1,Undergraduate,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=FREN1010
GEOS6001,Research Design,Undergraduate,2.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=GEOS6001
GEOS7001,Research Design,Postgraduate Coursework,2.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=GEOS7001
HMST3001,Exercise for Healthy Populations Practicum,Undergraduate,2.0,Human Movement & Nutrition Sci,https://programs-courses.uq.edu.au/course.html?course_code=HMST3001
HMST4314,Major Practicum (Exercise and Sports Science),Undergraduate,8.0,Human Movement & Nutrition Sci,https://programs-courses.uq.edu.au/course.html?course_code=HMST4314
HMST4925,Applied Research Training,Undergraduate,2.0,Human Movement & Nutrition Sci,https://programs-courses.uq.edu.au/course.html?course_code=HMST4925
IBUS7312,Doing Business in Asia,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=IBUS7312
JAPN2021,Foundational Japanese 3,Undergraduate,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=JAPN2021
JOUR3401,Journalism Project,Undergraduate,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=JOUR3401
KORN1010,Spoken Korean IA,Undergraduate,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=KORN1010
LAWS5180,Clinical Legal Education,Undergraduate,2.0,Law School,https://programs-courses.uq.edu.au/course.html?course_code=LAWS5180
LAWS5183,Research Project A,Undergraduate,2.0,Law School,https://programs-courses.uq.edu.au/course.html?course_code=LAWS5183
LAWS5208,Law Moot A,Undergraduate,2.0,Law School,https://programs-courses.uq.edu.au/course.html?course_code=LAWS5208
LAWS5209,Law Moot B,Undergraduate,2.0,Law School,https://programs-courses.uq.edu.au/course.html?course_code=LAWS5209
LAWS5233,Transnational Perspectives in Law,Undergraduate,2.0,Law School,https://programs-courses.uq.edu.au/course.html?course_code=LAWS5233
LAWS7701,Major Dissertation A,Postgraduate Coursework,8.0,Law School,https://programs-courses.uq.edu.au/course.html?course_code=LAWS7701
LAWS7825,Supervised Research Project,Postgraduate Coursework,2.0,Law School,https://programs-courses.uq.edu.au/course.html?course_code=LAWS7825
LAWS7944,Dissertation A,Postgraduate Coursework,4.0,Law School,https://programs-courses.uq.edu.au/course.html?course_code=LAWS7944
LTCS3002,Translating & Interpreting Studies,Undergraduate,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=LTCS3002
MATH6006,Special Topics I,Undergraduate,2.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MATH6006
MATH6007,Special Topics II,Undergraduate,2.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MATH6007
MATH6030,Mathematics Honours Research Project,Undergraduate,6.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MATH6030
MATH7012,Project or Thesis,Postgraduate Coursework,8.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MATH7012
MATH7013,Minor Project A,Postgraduate Coursework,4.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MATH7013
MATH7014,Minor Project B,Postgraduate Coursework,4.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MATH7014
MATH7015,Mini Project A,Postgraduate Coursework,2.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=MATH7015
