course_code	course_html_link
ANCH3580	https://programs-courses.uq.edu.au/course.html?course_code=ANCH3580
ANIM1020	https://programs-courses.uq.edu.au/course.html?course_code=ANIM1020
ANIM1026	https://programs-courses.uq.edu.au/course.html?course_code=ANIM1026
ANIM1115D	https://programs-courses.uq.edu.au/course.html?course_code=ANIM1115D
ANIM1120	https://programs-courses.uq.edu.au/course.html?course_code=ANIM1120
ANIM2021	https://programs-courses.uq.edu.au/course.html?course_code=ANIM2021
ANIM2033	https://programs-courses.uq.edu.au/course.html?course_code=ANIM2033
ANIM2053	https://programs-courses.uq.edu.au/course.html?course_code=ANIM2053
ANIM2503	https://programs-courses.uq.edu.au/course.html?course_code=ANIM2503
ANIM3006	https://programs-courses.uq.edu.au/course.html?course_code=ANIM3006
ANIM3018	https://programs-courses.uq.edu.au/course.html?course_code=ANIM3018
ANIM3049	https://programs-courses.uq.edu.au/course.html?course_code=ANIM3049
ANIM3125	https://programs-courses.uq.edu.au/course.html?course_code=ANIM3125
ANIM7023	https://programs-courses.uq.edu.au/course.html?course_code=ANIM7023
ANIM7043	https://programs-courses.uq.edu.au/course.html?course_code=ANIM7043
ANIM7240	https://programs-courses.uq.edu.au/course.html?course_code=ANIM7240
ANIM7241	https://programs-courses.uq.edu.au/course.html?course_code=ANIM7241
ANTH1008	https://programs-courses.uq.edu.au/course.html?course_code=ANTH1008
ANTH1030	https://programs-courses.uq.edu.au/course.html?course_code=ANTH1030
ANTH2010	https://programs-courses.uq.edu.au/course.html?course_code=ANTH2010
ANTH2020	https://programs-courses.uq.edu.au/course.html?course_code=ANTH2020
ANTH2270	https://programs-courses.uq.edu.au/course.html?course_code=ANTH2270
ANTH3019	https://programs-courses.uq.edu.au/course.html?course_code=ANTH3019
ANTH3140	https://programs-courses.uq.edu.au/course.html?course_code=ANTH3140
ARCA3000	https://programs-courses.uq.edu.au/course.html?course_code=ARCA3000
ARCH1000	https://programs-courses.uq.edu.au/course.html?course_code=ARCH1000
ARCH1002	https://programs-courses.uq.edu.au/course.html?course_code=ARCH1002
ARCH1003	https://programs-courses.uq.edu.au/course.html?course_code=ARCH1003
ARCH1020	https://programs-courses.uq.edu.au/course.html?course_code=ARCH1020
ARCH2200	https://programs-courses.uq.edu.au/course.html?course_code=ARCH2200
ARCH2240	https://programs-courses.uq.edu.au/course.html?course_code=ARCH2240
ARCH3141	https://programs-courses.uq.edu.au/course.html?course_code=ARCH3141
ARCH3200	https://programs-courses.uq.edu.au/course.html?course_code=ARCH3200
ARCH7003	https://programs-courses.uq.edu.au/course.html?course_code=ARCH7003
ARCH7004	https://programs-courses.uq.edu.au/course.html?course_code=ARCH7004
ARCH7007	https://programs-courses.uq.edu.au/course.html?course_code=ARCH7007
ARCH7015	https://programs-courses.uq.edu.au/course.html?course_code=ARCH7015
ARCH7034	https://programs-courses.uq.edu.au/course.html?course_code=ARCH7034
ARCH7075	https://programs-courses.uq.edu.au/course.html?course_code=ARCH7075
ARCH7094	https://programs-courses.uq.edu.au/course.html?course_code=ARCH7094
ARCS1001	https://programs-courses.uq.edu.au/course.html?course_code=ARCS1001
ARCS2011	https://programs-courses.uq.edu.au/course.html?course_code=ARCS2011
ARCS2050	https://programs-courses.uq.edu.au/course.html?course_code=ARCS2050
ARCS2070	https://programs-courses.uq.edu.au/course.html?course_code=ARCS2070
ARCS3010	https://programs-courses.uq.edu.au/course.html?course_code=ARCS3010
ARTT1105	https://programs-courses.uq.edu.au/course.html?course_code=ARTT1105
ARTT2103	https://programs-courses.uq.edu.au/course.html?course_code=ARTT2103
ARTT2116	https://programs-courses.uq.edu.au/course.html?course_code=ARTT2116
ARTT2127	https://programs-courses.uq.edu.au/course.html?course_code=ARTT2127
ARTT3100	https://programs-courses.uq.edu.au/course.html?course_code=ARTT3100
ARTT3117	https://programs-courses.uq.edu.au/course.html?course_code=ARTT3117
ARTT3200	https://programs-courses.uq.edu.au/course.html?course_code=ARTT3200
